sample_id,schedule,position,delay_ms,repetition,role,seed,ops_rtt_avg_ms,twin_rtt_avg_ms,rtt_residual_ms,ops_packet_loss_percent,twin_packet_loss_percent,ops_route_metric,twin_route_metric,ops_next_hop,twin_next_hop,route_match,operational_unsafe_latency,twin_predicted_safe_latency
abrupt_shift-pos-011-delay-0ms-rep-3,abrupt_shift,11,0.0,3,validation,,0.131,0.126,0.0050000000000000044,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-012-delay-1ms-rep-3,abrupt_shift,12,1.0,3,validation,,6.136,0.151,5.985,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-013-delay-2ms-rep-3,abrupt_shift,13,2.0,3,validation,,7.092,0.139,6.952999999999999,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-014-delay-5ms-rep-3,abrupt_shift,14,5.0,3,validation,,12.191,0.157,12.034,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-015-delay-10ms-rep-3,abrupt_shift,15,10.0,3,validation,,23.745,0.176,23.569000000000003,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-016-delay-25ms-rep-1,abrupt_shift,16,25.0,1,validation,,56.213,0.144,56.069,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
abrupt_shift-pos-017-delay-30ms-rep-1,abrupt_shift,17,30.0,1,validation,,67.729,0.156,67.573,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
abrupt_shift-pos-018-delay-35ms-rep-1,abrupt_shift,18,35.0,1,validation,,75.751,0.166,75.58500000000001,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
abrupt_shift-pos-019-delay-40ms-rep-1,abrupt_shift,19,40.0,1,validation,,86.709,0.159,86.55,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
abrupt_shift-pos-020-delay-30ms-rep-2,abrupt_shift,20,30.0,2,validation,,66.955,0.168,66.78699999999999,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
abrupt_shift-pos-021-delay-25ms-rep-2,abrupt_shift,21,25.0,2,validation,,56.501,0.155,56.346,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
abrupt_shift-pos-022-delay-30ms-rep-3,abrupt_shift,22,30.0,3,validation,,67.233,0.172,67.061,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
abrupt_shift-pos-023-delay-35ms-rep-2,abrupt_shift,23,35.0,2,validation,,76.222,0.221,76.00099999999999,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
abrupt_shift-pos-024-delay-40ms-rep-2,abrupt_shift,24,40.0,2,validation,,86.533,0.108,86.425,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
abrupt_shift-pos-025-delay-30ms-rep-4,abrupt_shift,25,30.0,4,validation,,67.277,0.16,67.117,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
abrupt_shift-pos-026-delay-25ms-rep-3,abrupt_shift,26,25.0,3,validation,,56.124,0.154,55.97,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
abrupt_shift-pos-027-delay-30ms-rep-5,abrupt_shift,27,30.0,5,validation,,67.565,0.152,67.413,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
abrupt_shift-pos-028-delay-35ms-rep-3,abrupt_shift,28,35.0,3,validation,,76.095,0.153,75.942,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
abrupt_shift-pos-029-delay-40ms-rep-3,abrupt_shift,29,40.0,3,validation,,85.622,0.154,85.468,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
abrupt_shift-pos-030-delay-30ms-rep-6,abrupt_shift,30,30.0,6,validation,,67.084,0.154,66.93,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
abrupt_shift-pos-031-delay-10ms-rep-4,abrupt_shift,31,10.0,4,validation,,24.162,0.145,24.017,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-032-delay-5ms-rep-4,abrupt_shift,32,5.0,4,validation,,12.482,0.172,12.309999999999999,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-033-delay-2ms-rep-4,abrupt_shift,33,2.0,4,validation,,7.029,0.159,6.87,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-034-delay-1ms-rep-4,abrupt_shift,34,1.0,4,validation,,5.696,0.164,5.532,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-035-delay-0ms-rep-4,abrupt_shift,35,0.0,4,validation,,0.152,0.162,-0.010000000000000009,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-036-delay-10ms-rep-5,abrupt_shift,36,10.0,5,validation,,23.693,0.159,23.534000000000002,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-037-delay-5ms-rep-5,abrupt_shift,37,5.0,5,validation,,12.438,0.167,12.271,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-038-delay-2ms-rep-5,abrupt_shift,38,2.0,5,validation,,6.761,0.156,6.605,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-039-delay-1ms-rep-5,abrupt_shift,39,1.0,5,validation,,5.597,0.17,5.4270000000000005,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-040-delay-0ms-rep-5,abrupt_shift,40,0.0,5,validation,,0.17,0.176,-0.005999999999999978,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-041-delay-10ms-rep-6,abrupt_shift,41,10.0,6,validation,,24.311,0.147,24.164,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-042-delay-5ms-rep-6,abrupt_shift,42,5.0,6,validation,,12.497,0.142,12.355,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-043-delay-2ms-rep-6,abrupt_shift,43,2.0,6,validation,,7.155,0.148,7.007000000000001,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-044-delay-1ms-rep-6,abrupt_shift,44,1.0,6,validation,,5.896,0.116,5.78,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
abrupt_shift-pos-045-delay-0ms-rep-6,abrupt_shift,45,0.0,6,validation,,0.145,0.156,-0.01100000000000001,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
calibration_seed77-pos-001-delay-1ms-rep-1,calibration_seed77,1,1.0,1,calibration,77,5.748,0.153,5.595000000000001,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
calibration_seed77-pos-002-delay-15ms-rep-1,calibration_seed77,2,15.0,1,calibration,77,35.162,0.126,35.036,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
calibration_seed77-pos-003-delay-10ms-rep-1,calibration_seed77,3,10.0,1,calibration,77,23.907,0.155,23.752,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
calibration_seed77-pos-004-delay-0ms-rep-1,calibration_seed77,4,0.0,1,calibration,77,0.16,0.148,0.01200000000000001,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
calibration_seed77-pos-005-delay-5ms-rep-1,calibration_seed77,5,5.0,1,calibration,77,12.408,0.15,12.258,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
calibration_seed77-pos-006-delay-35ms-rep-1,calibration_seed77,6,35.0,1,calibration,77,78.011,0.154,77.857,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
calibration_seed77-pos-007-delay-20ms-rep-1,calibration_seed77,7,20.0,1,calibration,77,46.379,0.156,46.223,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
calibration_seed77-pos-008-delay-0ms-rep-2,calibration_seed77,8,0.0,2,calibration,77,0.161,0.159,0.0020000000000000018,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
calibration_seed77-pos-009-delay-1ms-rep-2,calibration_seed77,9,1.0,2,calibration,77,5.937,0.155,5.782,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
calibration_seed77-pos-010-delay-2ms-rep-1,calibration_seed77,10,2.0,1,calibration,77,7.267,0.151,7.1160000000000005,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
calibration_seed77-pos-011-delay-2ms-rep-2,calibration_seed77,11,2.0,2,calibration,77,6.916,0.168,6.748,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
calibration_seed77-pos-012-delay-15ms-rep-2,calibration_seed77,12,15.0,2,calibration,77,34.959,0.154,34.805,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
calibration_seed77-pos-013-delay-10ms-rep-2,calibration_seed77,13,10.0,2,calibration,77,24.273,0.158,24.115,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
calibration_seed77-pos-014-delay-40ms-rep-1,calibration_seed77,14,40.0,1,calibration,77,87.402,0.139,87.263,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
calibration_seed77-pos-015-delay-25ms-rep-1,calibration_seed77,15,25.0,1,calibration,77,57.402,0.134,57.268,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
calibration_seed77-pos-016-delay-35ms-rep-2,calibration_seed77,16,35.0,2,calibration,77,76.785,0.163,76.622,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
calibration_seed77-pos-017-delay-5ms-rep-2,calibration_seed77,17,5.0,2,calibration,77,12.314,0.139,12.175,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
calibration_seed77-pos-018-delay-30ms-rep-1,calibration_seed77,18,30.0,1,calibration,77,66.54,0.16,66.38000000000001,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
calibration_seed77-pos-019-delay-25ms-rep-2,calibration_seed77,19,25.0,2,calibration,77,57.228,0.128,57.1,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
calibration_seed77-pos-020-delay-20ms-rep-2,calibration_seed77,20,20.0,2,calibration,77,46.753,0.155,46.598,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
calibration_seed77-pos-021-delay-40ms-rep-2,calibration_seed77,21,40.0,2,calibration,77,85.705,0.136,85.569,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
calibration_seed77-pos-022-delay-30ms-rep-2,calibration_seed77,22,30.0,2,calibration,77,66.337,0.158,66.179,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed101-pos-001-delay-15ms-rep-1,randomized_seed101,1,15.0,1,validation,101,35.457,0.151,35.306,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed101-pos-002-delay-25ms-rep-1,randomized_seed101,2,25.0,1,validation,101,56.759,0.099,56.660000000000004,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed101-pos-003-delay-0ms-rep-1,randomized_seed101,3,0.0,1,validation,101,0.142,0.142,0.0,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed101-pos-004-delay-10ms-rep-1,randomized_seed101,4,10.0,1,validation,101,24.015,0.158,23.857,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed101-pos-005-delay-1ms-rep-1,randomized_seed101,5,1.0,1,validation,101,6.048,0.154,5.894,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed101-pos-006-delay-0ms-rep-2,randomized_seed101,6,0.0,2,validation,101,0.152,0.141,0.01100000000000001,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed101-pos-007-delay-5ms-rep-1,randomized_seed101,7,5.0,1,validation,101,12.365,0.159,12.206,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed101-pos-008-delay-35ms-rep-1,randomized_seed101,8,35.0,1,validation,101,75.747,0.123,75.624,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed101-pos-009-delay-2ms-rep-1,randomized_seed101,9,2.0,1,validation,101,7.243,0.169,7.074000000000001,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed101-pos-010-delay-5ms-rep-2,randomized_seed101,10,5.0,2,validation,101,12.177,0.136,12.041,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed101-pos-011-delay-35ms-rep-2,randomized_seed101,11,35.0,2,validation,101,77.128,0.172,76.956,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed101-pos-012-delay-20ms-rep-1,randomized_seed101,12,20.0,1,validation,101,47.409,0.157,47.252,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed101-pos-013-delay-40ms-rep-1,randomized_seed101,13,40.0,1,validation,101,86.382,0.156,86.226,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed101-pos-014-delay-2ms-rep-2,randomized_seed101,14,2.0,2,validation,101,7.031,0.165,6.866,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed101-pos-015-delay-25ms-rep-2,randomized_seed101,15,25.0,2,validation,101,55.795,0.163,55.632000000000005,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed101-pos-016-delay-15ms-rep-2,randomized_seed101,16,15.0,2,validation,101,35.982,0.165,35.817,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed101-pos-017-delay-20ms-rep-2,randomized_seed101,17,20.0,2,validation,101,46.525,0.158,46.367,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed101-pos-018-delay-30ms-rep-1,randomized_seed101,18,30.0,1,validation,101,67.065,0.16,66.905,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed101-pos-019-delay-2ms-rep-3,randomized_seed101,19,2.0,3,validation,101,6.969,0.156,6.813000000000001,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed101-pos-020-delay-30ms-rep-2,randomized_seed101,20,30.0,2,validation,101,66.102,0.146,65.956,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed101-pos-021-delay-40ms-rep-2,randomized_seed101,21,40.0,2,validation,101,87.221,0.132,87.089,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed101-pos-022-delay-10ms-rep-2,randomized_seed101,22,10.0,2,validation,101,24.235,0.119,24.116,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed101-pos-023-delay-10ms-rep-3,randomized_seed101,23,10.0,3,validation,101,23.579,0.164,23.415,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed101-pos-024-delay-35ms-rep-3,randomized_seed101,24,35.0,3,validation,101,77.738,0.148,77.59,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed101-pos-025-delay-25ms-rep-3,randomized_seed101,25,25.0,3,validation,101,56.504,0.147,56.357,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed101-pos-026-delay-30ms-rep-3,randomized_seed101,26,30.0,3,validation,101,66.5,0.134,66.366,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed101-pos-027-delay-20ms-rep-3,randomized_seed101,27,20.0,3,validation,101,45.656,0.156,45.5,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed101-pos-028-delay-15ms-rep-3,randomized_seed101,28,15.0,3,validation,101,35.313,0.145,35.168,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed101-pos-029-delay-40ms-rep-3,randomized_seed101,29,40.0,3,validation,101,86.119,0.145,85.974,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed101-pos-030-delay-1ms-rep-2,randomized_seed101,30,1.0,2,validation,101,5.474,0.15,5.324,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed101-pos-031-delay-5ms-rep-3,randomized_seed101,31,5.0,3,validation,101,12.525,0.165,12.360000000000001,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed101-pos-032-delay-0ms-rep-3,randomized_seed101,32,0.0,3,validation,101,0.158,0.154,0.0040000000000000036,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed101-pos-033-delay-1ms-rep-3,randomized_seed101,33,1.0,3,validation,101,6.055,0.154,5.901,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed202-pos-001-delay-30ms-rep-1,randomized_seed202,1,30.0,1,validation,202,66.817,0.146,66.67099999999999,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed202-pos-002-delay-0ms-rep-1,randomized_seed202,2,0.0,1,validation,202,0.125,0.162,-0.037000000000000005,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed202-pos-003-delay-2ms-rep-1,randomized_seed202,3,2.0,1,validation,202,6.922,0.133,6.789,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed202-pos-004-delay-10ms-rep-1,randomized_seed202,4,10.0,1,validation,202,24.021,0.166,23.855,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed202-pos-005-delay-0ms-rep-2,randomized_seed202,5,0.0,2,validation,202,0.14,0.137,0.0030000000000000027,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed202-pos-006-delay-35ms-rep-1,randomized_seed202,6,35.0,1,validation,202,76.722,0.159,76.56299999999999,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed202-pos-007-delay-1ms-rep-1,randomized_seed202,7,1.0,1,validation,202,5.999,0.157,5.842,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed202-pos-008-delay-15ms-rep-1,randomized_seed202,8,15.0,1,validation,202,35.238,0.165,35.073,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed202-pos-009-delay-20ms-rep-1,randomized_seed202,9,20.0,1,validation,202,45.642,0.167,45.475,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed202-pos-010-delay-5ms-rep-1,randomized_seed202,10,5.0,1,validation,202,12.395,0.174,12.221,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed202-pos-011-delay-30ms-rep-2,randomized_seed202,11,30.0,2,validation,202,67.15,0.158,66.992,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed202-pos-012-delay-10ms-rep-2,randomized_seed202,12,10.0,2,validation,202,23.809,0.157,23.652,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed202-pos-013-delay-5ms-rep-2,randomized_seed202,13,5.0,2,validation,202,12.352,0.168,12.184000000000001,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed202-pos-014-delay-35ms-rep-2,randomized_seed202,14,35.0,2,validation,202,77.492,0.169,77.32300000000001,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed202-pos-015-delay-25ms-rep-1,randomized_seed202,15,25.0,1,validation,202,56.106,0.141,55.965,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed202-pos-016-delay-10ms-rep-3,randomized_seed202,16,10.0,3,validation,202,23.469,0.159,23.310000000000002,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed202-pos-017-delay-25ms-rep-2,randomized_seed202,17,25.0,2,validation,202,57.07,0.16,56.910000000000004,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed202-pos-018-delay-25ms-rep-3,randomized_seed202,18,25.0,3,validation,202,56.233,0.153,56.08,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed202-pos-019-delay-40ms-rep-1,randomized_seed202,19,40.0,1,validation,202,87.408,0.168,87.24,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed202-pos-020-delay-15ms-rep-2,randomized_seed202,20,15.0,2,validation,202,35.202,0.154,35.047999999999995,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed202-pos-021-delay-40ms-rep-2,randomized_seed202,21,40.0,2,validation,202,87.095,0.137,86.958,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed202-pos-022-delay-0ms-rep-3,randomized_seed202,22,0.0,3,validation,202,0.15,0.165,-0.015000000000000013,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed202-pos-023-delay-5ms-rep-3,randomized_seed202,23,5.0,3,validation,202,12.405,0.157,12.248,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed202-pos-024-delay-35ms-rep-3,randomized_seed202,24,35.0,3,validation,202,76.705,0.16,76.545,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed202-pos-025-delay-1ms-rep-2,randomized_seed202,25,1.0,2,validation,202,5.815,0.154,5.6610000000000005,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed202-pos-026-delay-1ms-rep-3,randomized_seed202,26,1.0,3,validation,202,6.143,0.163,5.9799999999999995,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed202-pos-027-delay-40ms-rep-3,randomized_seed202,27,40.0,3,validation,202,86.943,0.17,86.773,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed202-pos-028-delay-20ms-rep-2,randomized_seed202,28,20.0,2,validation,202,47.456,0.164,47.292,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed202-pos-029-delay-20ms-rep-3,randomized_seed202,29,20.0,3,validation,202,47.135,0.149,46.986,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed202-pos-030-delay-15ms-rep-3,randomized_seed202,30,15.0,3,validation,202,35.7,0.166,35.534000000000006,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed202-pos-031-delay-2ms-rep-2,randomized_seed202,31,2.0,2,validation,202,7.049,0.167,6.882000000000001,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed202-pos-032-delay-30ms-rep-3,randomized_seed202,32,30.0,3,validation,202,67.739,0.181,67.558,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed202-pos-033-delay-2ms-rep-3,randomized_seed202,33,2.0,3,validation,202,6.757,0.165,6.592,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed303-pos-001-delay-0ms-rep-1,randomized_seed303,1,0.0,1,validation,303,0.157,0.161,-0.0040000000000000036,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed303-pos-002-delay-40ms-rep-1,randomized_seed303,2,40.0,1,validation,303,86.379,0.164,86.215,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed303-pos-003-delay-40ms-rep-2,randomized_seed303,3,40.0,2,validation,303,86.946,0.156,86.78999999999999,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed303-pos-004-delay-5ms-rep-1,randomized_seed303,4,5.0,1,validation,303,12.612,0.161,12.451,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed303-pos-005-delay-5ms-rep-2,randomized_seed303,5,5.0,2,validation,303,12.456,0.158,12.298,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed303-pos-006-delay-30ms-rep-1,randomized_seed303,6,30.0,1,validation,303,67.049,0.156,66.893,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed303-pos-007-delay-0ms-rep-2,randomized_seed303,7,0.0,2,validation,303,0.153,0.172,-0.01899999999999999,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed303-pos-008-delay-10ms-rep-1,randomized_seed303,8,10.0,1,validation,303,24.14,0.144,23.996000000000002,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed303-pos-009-delay-25ms-rep-1,randomized_seed303,9,25.0,1,validation,303,57.75,0.167,57.583,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed303-pos-010-delay-20ms-rep-1,randomized_seed303,10,20.0,1,validation,303,46.386,0.152,46.234,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed303-pos-011-delay-25ms-rep-2,randomized_seed303,11,25.0,2,validation,303,55.321,0.157,55.164,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,True,True
randomized_seed303-pos-012-delay-0ms-rep-3,randomized_seed303,12,0.0,3,validation,303,0.166,0.149,0.017000000000000015,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
randomized_seed303-pos-013-delay-10ms-rep-2,randomized_seed303,13,10.0,2,validation,303,23.873,0.156,23.717000000000002,0.0,0.0,15,15,192.168.2.2,192.168.2.2,True,False,True
