sample_id,schedule,position,delay_ms,repetition,role,seed,ops_link_rtt_avg_ms,twin_link_rtt_avg_ms,link_delta_ms,ops_e2e_rtt_avg_ms,twin_e2e_rtt_avg_ms,corrected_prediction_ms,corrected_residual_ms,operational_unsafe_latency,route_match
randomized_seed101-pos-022-delay-10ms-rep-2,randomized_seed101,22,10.0,2,validation,101,25.394,0.127,25.267,27.145,0.139,25.406,1.7390000000000008,False,True
randomized_seed101-pos-023-delay-10ms-rep-3,randomized_seed101,23,10.0,3,validation,101,26.701,0.133,26.568,26.348,0.141,26.709,-0.36100000000000065,False,True
randomized_seed101-pos-024-delay-35ms-rep-3,randomized_seed101,24,35.0,3,validation,101,82.794,0.118,82.676,78.937,0.127,82.803,-3.8659999999999997,True,True
randomized_seed101-pos-025-delay-25ms-rep-3,randomized_seed101,25,25.0,3,validation,101,60.321,0.124,60.196999999999996,61.802,0.139,60.336,1.466000000000001,True,True
randomized_seed101-pos-026-delay-30ms-rep-3,randomized_seed101,26,30.0,3,validation,101,70.6,0.126,70.47399999999999,69.843,0.151,70.62499999999999,-0.7819999999999823,True,True
randomized_seed101-pos-027-delay-20ms-rep-3,randomized_seed101,27,20.0,3,validation,101,51.208,0.138,51.07,50.124,0.147,51.217,-1.0929999999999964,True,True
randomized_seed101-pos-028-delay-15ms-rep-3,randomized_seed101,28,15.0,3,validation,101,38.63,0.143,38.487,40.371,0.129,38.616,1.7550000000000026,False,True
randomized_seed101-pos-029-delay-40ms-rep-3,randomized_seed101,29,40.0,3,validation,101,89.922,0.11,89.812,91.524,0.137,89.949,1.5750000000000028,True,True
randomized_seed101-pos-030-delay-1ms-rep-2,randomized_seed101,30,1.0,2,validation,101,6.358,0.133,6.225,5.974,0.122,6.3469999999999995,-0.37299999999999933,False,True
randomized_seed101-pos-031-delay-5ms-rep-3,randomized_seed101,31,5.0,3,validation,101,13.798,0.134,13.664,13.889,0.15,13.814,0.07499999999999929,False,True
randomized_seed101-pos-032-delay-0ms-rep-3,randomized_seed101,32,0.0,3,validation,101,0.141,0.125,0.015999999999999986,0.177,0.136,0.152,0.024999999999999994,False,True
randomized_seed101-pos-033-delay-1ms-rep-3,randomized_seed101,33,1.0,3,validation,101,5.965,0.141,5.824,5.902,0.143,5.967,-0.0649999999999995,False,True
randomized_seed202-pos-001-delay-30ms-rep-1,randomized_seed202,1,30.0,1,validation,202,71.76,0.127,71.63300000000001,71.472,0.142,71.775,-0.3030000000000115,True,True
randomized_seed202-pos-002-delay-0ms-rep-1,randomized_seed202,2,0.0,1,validation,202,0.143,0.13,0.012999999999999984,0.135,0.141,0.15399999999999997,-0.01899999999999996,False,True
randomized_seed202-pos-003-delay-2ms-rep-1,randomized_seed202,3,2.0,1,validation,202,7.541,0.134,7.407,7.628,0.151,7.558,0.07000000000000028,False,True
randomized_seed202-pos-004-delay-10ms-rep-1,randomized_seed202,4,10.0,1,validation,202,27.022,0.126,26.895999999999997,27.066,0.137,27.032999999999998,0.03300000000000125,False,True
randomized_seed202-pos-005-delay-0ms-rep-2,randomized_seed202,5,0.0,2,validation,202,0.142,0.137,0.004999999999999977,0.159,0.133,0.13799999999999998,0.02100000000000002,False,True
randomized_seed202-pos-006-delay-35ms-rep-1,randomized_seed202,6,35.0,1,validation,202,82.964,0.138,82.826,82.501,0.145,82.97099999999999,-0.46999999999998465,True,True
randomized_seed202-pos-007-delay-1ms-rep-1,randomized_seed202,7,1.0,1,validation,202,6.588,0.13,6.458,5.918,0.144,6.602,-0.6840000000000002,False,True
randomized_seed202-pos-008-delay-15ms-rep-1,randomized_seed202,8,15.0,1,validation,202,39.333,0.129,39.204,38.617,0.138,39.342,-0.7250000000000014,False,True
randomized_seed202-pos-009-delay-20ms-rep-1,randomized_seed202,9,20.0,1,validation,202,50.381,0.106,50.275,49.467,0.152,50.427,-0.9600000000000009,False,True
randomized_seed202-pos-010-delay-5ms-rep-1,randomized_seed202,10,5.0,1,validation,202,14.076,0.139,13.937000000000001,13.674,0.146,14.083000000000002,-0.4090000000000025,False,True
randomized_seed202-pos-011-delay-30ms-rep-2,randomized_seed202,11,30.0,2,validation,202,70.748,0.121,70.62700000000001,73.503,0.15,70.77700000000002,2.725999999999985,True,True
randomized_seed202-pos-012-delay-10ms-rep-2,randomized_seed202,12,10.0,2,validation,202,26.273,0.153,26.12,26.162,0.162,26.282,-0.120000000000001,False,True
randomized_seed202-pos-013-delay-5ms-rep-2,randomized_seed202,13,5.0,2,validation,202,14.273,0.125,14.148,14.022,0.143,14.291,-0.26900000000000013,False,True
randomized_seed202-pos-014-delay-35ms-rep-2,randomized_seed202,14,35.0,2,validation,202,80.726,0.126,80.6,80.673,0.145,80.74499999999999,-0.07199999999998852,True,True
randomized_seed202-pos-015-delay-25ms-rep-1,randomized_seed202,15,25.0,1,validation,202,61.408,0.138,61.27,61.785,0.153,61.423,0.36199999999999477,True,True
randomized_seed202-pos-016-delay-10ms-rep-3,randomized_seed202,16,10.0,3,validation,202,25.902,0.151,25.751,25.96,0.15,25.901,0.05900000000000105,False,True
randomized_seed202-pos-017-delay-25ms-rep-2,randomized_seed202,17,25.0,2,validation,202,62.638,0.122,62.516,60.952,0.141,62.657,-1.7049999999999983,True,True
randomized_seed202-pos-018-delay-25ms-rep-3,randomized_seed202,18,25.0,3,validation,202,61.353,0.163,61.190000000000005,60.173,0.134,61.324000000000005,-1.1510000000000034,True,True
randomized_seed202-pos-019-delay-40ms-rep-1,randomized_seed202,19,40.0,1,validation,202,90.724,0.132,90.592,89.236,0.125,90.717,-1.4809999999999945,True,True
randomized_seed202-pos-020-delay-15ms-rep-2,randomized_seed202,20,15.0,2,validation,202,39.344,0.124,39.22,39.307,0.149,39.369,-0.06199999999999761,False,True
randomized_seed202-pos-021-delay-40ms-rep-2,randomized_seed202,21,40.0,2,validation,202,91.641,0.133,91.50800000000001,92.165,0.136,91.644,0.5210000000000008,True,True
randomized_seed202-pos-022-delay-0ms-rep-3,randomized_seed202,22,0.0,3,validation,202,0.143,0.149,-0.006000000000000005,0.137,0.166,0.166,-0.028999999999999998,False,True
randomized_seed202-pos-023-delay-5ms-rep-3,randomized_seed202,23,5.0,3,validation,202,13.989,0.136,13.853000000000002,14.174,0.161,14.014000000000001,0.15999999999999837,False,True
randomized_seed202-pos-024-delay-35ms-rep-3,randomized_seed202,24,35.0,3,validation,202,81.871,0.139,81.732,83.067,0.155,81.887,1.1799999999999926,True,True
randomized_seed202-pos-025-delay-1ms-rep-2,randomized_seed202,25,1.0,2,validation,202,5.934,0.148,5.7860000000000005,6.131,0.122,5.908,0.22299999999999986,False,True
randomized_seed202-pos-026-delay-1ms-rep-3,randomized_seed202,26,1.0,3,validation,202,6.87,0.14,6.73,5.531,0.143,6.873,-1.3420000000000005,False,True
randomized_seed202-pos-027-delay-40ms-rep-3,randomized_seed202,27,40.0,3,validation,202,91.918,0.131,91.787,92.197,0.172,91.959,0.23799999999999955,True,True
randomized_seed202-pos-028-delay-20ms-rep-2,randomized_seed202,28,20.0,2,validation,202,50.778,0.124,50.653999999999996,49.722,0.149,50.803,-1.080999999999996,False,True
randomized_seed202-pos-029-delay-20ms-rep-3,randomized_seed202,29,20.0,3,validation,202,49.995,0.122,49.873,49.235,0.139,50.012,-0.777000000000001,False,True
randomized_seed202-pos-030-delay-15ms-rep-3,randomized_seed202,30,15.0,3,validation,202,39.672,0.128,39.544,38.415,0.144,39.687999999999995,-1.2729999999999961,False,True
randomized_seed202-pos-031-delay-2ms-rep-2,randomized_seed202,31,2.0,2,validation,202,7.996,0.16,7.836,8.015,0.152,7.988,0.027000000000000135,False,True
randomized_seed202-pos-032-delay-30ms-rep-3,randomized_seed202,32,30.0,3,validation,202,71.495,0.133,71.36200000000001,71.677,0.141,71.50300000000001,0.17399999999999238,True,True
randomized_seed202-pos-033-delay-2ms-rep-3,randomized_seed202,33,2.0,3,validation,202,7.655,0.143,7.5120000000000005,7.568,0.142,7.654000000000001,-0.08600000000000119,False,True
randomized_seed303-pos-001-delay-0ms-rep-1,randomized_seed303,1,0.0,1,validation,303,0.134,0.159,-0.024999999999999994,0.13,0.13,0.13,0.0,False,True
randomized_seed303-pos-002-delay-40ms-rep-1,randomized_seed303,2,40.0,1,validation,303,89.463,0.126,89.33699999999999,90.755,0.146,89.48299999999999,1.2720000000000056,True,True
randomized_seed303-pos-003-delay-40ms-rep-2,randomized_seed303,3,40.0,2,validation,303,91.151,0.136,91.015,91.766,0.152,91.167,0.5990000000000038,True,True
randomized_seed303-pos-004-delay-5ms-rep-1,randomized_seed303,4,5.0,1,validation,303,13.592,0.139,13.453000000000001,14.041,0.169,13.622000000000002,0.4189999999999987,False,True
randomized_seed303-pos-005-delay-5ms-rep-2,randomized_seed303,5,5.0,2,validation,303,13.863,0.133,13.73,14.099,0.158,13.888,0.2110000000000003,False,True
randomized_seed303-pos-006-delay-30ms-rep-1,randomized_seed303,6,30.0,1,validation,303,70.591,0.131,70.46,72.805,0.158,70.618,2.187000000000012,True,True
randomized_seed303-pos-007-delay-0ms-rep-2,randomized_seed303,7,0.0,2,validation,303,0.13,0.158,-0.027999999999999997,0.175,0.15,0.15,0.024999999999999994,False,True
randomized_seed303-pos-008-delay-10ms-rep-1,randomized_seed303,8,10.0,1,validation,303,26.578,0.144,26.434,26.321,0.143,26.577,-0.2560000000000002,False,True
randomized_seed303-pos-009-delay-25ms-rep-1,randomized_seed303,9,25.0,1,validation,303,62.228,0.137,62.091,60.737,0.146,62.237,-1.5,True,True
randomized_seed303-pos-010-delay-20ms-rep-1,randomized_seed303,10,20.0,1,validation,303,50.142,0.14,50.002,52.101,0.133,50.135000000000005,1.965999999999994,True,True
randomized_seed303-pos-011-delay-25ms-rep-2,randomized_seed303,11,25.0,2,validation,303,61.099,0.122,60.977,60.874,0.155,61.132,-0.25799999999999557,True,True
randomized_seed303-pos-012-delay-0ms-rep-3,randomized_seed303,12,0.0,3,validation,303,0.117,0.126,-0.008999999999999994,0.171,0.142,0.142,0.029000000000000026,False,True
randomized_seed303-pos-013-delay-10ms-rep-2,randomized_seed303,13,10.0,2,validation,303,26.528,0.14,26.387999999999998,26.541,0.157,26.544999999999998,-0.003999999999997783,False,True
randomized_seed303-pos-014-delay-35ms-rep-1,randomized_seed303,14,35.0,1,validation,303,78.807,0.13,78.677,80.585,0.147,78.82400000000001,1.7609999999999815,True,True
randomized_seed303-pos-015-delay-35ms-rep-2,randomized_seed303,15,35.0,2,validation,303,82.331,0.129,82.202,82.8,0.137,82.339,0.4609999999999985,True,True
randomized_seed303-pos-016-delay-1ms-rep-1,randomized_seed303,16,1.0,1,validation,303,6.574,0.13,6.444,6.235,0.154,6.598,-0.36299999999999955,False,True
randomized_seed303-pos-017-delay-5ms-rep-3,randomized_seed303,17,5.0,3,validation,303,14.03,0.139,13.891,13.775,0.155,14.046,-0.270999999999999,False,True
randomized_seed303-pos-018-delay-20ms-rep-2,randomized_seed303,18,20.0,2,validation,303,51.962,0.126,51.836000000000006,50.174,0.157,51.993,-1.8190000000000026,True,True
randomized_seed303-pos-019-delay-2ms-rep-1,randomized_seed303,19,2.0,1,validation,303,7.759,0.13,7.6290000000000004,7.601,0.15,7.779000000000001,-0.17800000000000082,False,True
randomized_seed303-pos-020-delay-35ms-rep-3,randomized_seed303,20,35.0,3,validation,303,82.221,0.123,82.098,79.748,0.154,82.252,-2.5039999999999907,True,True
randomized_seed303-pos-021-delay-2ms-rep-2,randomized_seed303,21,2.0,2,validation,303,7.798,0.145,7.6530000000000005,7.775,0.152,7.805000000000001,-0.03000000000000025,False,True
randomized_seed303-pos-022-delay-15ms-rep-1,randomized_seed303,22,15.0,1,validation,303,38.29,0.118,38.172,37.378,0.14,38.312,-0.9339999999999975,False,True
randomized_seed303-pos-023-delay-1ms-rep-2,randomized_seed303,23,1.0,2,validation,303,5.906,0.122,5.784,5.839,0.135,5.919,-0.07999999999999918,False,True
randomized_seed303-pos-024-delay-15ms-rep-2,randomized_seed303,24,15.0,2,validation,303,38.63,0.132,38.498000000000005,38.689,0.145,38.64300000000001,0.04599999999999227,False,True
randomized_seed303-pos-025-delay-15ms-rep-3,randomized_seed303,25,15.0,3,validation,303,37.679,0.128,37.551,38.058,0.15,37.701,0.3569999999999993,False,True
randomized_seed303-pos-026-delay-30ms-rep-2,randomized_seed303,26,30.0,2,validation,303,71.369,0.142,71.227,72.978,0.144,71.37100000000001,1.606999999999985,True,True
